requirement_id,theme,role,need,outcome,dependencies,requirement_owner,source_reference,acceptance_criteria,source_pages
FR-E03,Instructions & Approval Workflow,System (implicit) / Approver,to send creation notifications to selected approvers and Sub Type distribution list,approvers are alerted to review content,None,TBD,User Guide Sec 10.2,"• Given an Instruction is created, When saved, Then notification emails are sent to approvers and configured lists.",15;16
FR-E04,Instructions & Approval Workflow,Data Authority,to approve an Instruction with auto-adjust of past Release time and justification prompts when Effective/Expiry outside Sub Type bounds,published instructions comply with policy,None,TBD,User Guide Sec 10.4,"• Given Release < now, When I approve, Then Release is adjusted to current date/time. • Given Effective/Expiry outside min/max for the Sub Type, When I approve, Then the system prompts for justification and records it.",16
FR-E05,Instructions & Approval Workflow,Data Authority / System Manager,"to manage statuses (Unapproved, Approved, Approved Pending Release, Released, Archived) with permitted actions (Approve/Unapprove/Edit/Restore/Delete)",instructions follow a controlled lifecycle,None,TBD,User Guide Sec 10.4,"• Given Approved Pending Release, When I have Unapprove permission, Then I can unapprove prior to Release. • Given Released, When I edit, Then title and release restrictions apply as per status rules. • Given Archived and I have permission, When I Restore with future Expiry, Then the message reactivates.",16;17
FR-E06,Instructions & Approval Workflow,System (implicit) / Subscribers,to send approval emails to configured distribution lists,stakeholders are informed of approvals,None,TBD,User Guide Sec 10.4,"• Given an Instruction is approved, When status changes, Then approval notifications are sent to configured recipients.",17
FR-E07,Instructions & Approval Workflow,Auditor / Data Authority,to view audit history for a message when permitted,I can trace who changed what and when,None,TBD,User Guide Sec 10.4,"• Given I have View Audit History permission, When I open the Audit tab, Then I see chronological change records.",17
FR-E08,Instructions & Approval Workflow,Any user with access,"to search by ID, Title, Summary, Display Content, Group, Sub Type, Read Status and date ranges (Release/Effective/Expiry)",I can locate specific instructions efficiently,None,TBD,User Guide Sec 10.3,"• Given I have the required permissions, When I search with any combination of filters, Then I see matching instructions; no criteria returns all. • And results/actions are consistent with my role and scope.",17;18
FR-E22,Instructions & Approval Workflow,System (implicit),to automatically set status to Released when Release Date/Time <= now (and all dates present),users receive messages at the right time without manual action,None,TBD,User Guide Sec 10.1,"• Given an Approved message with Release <= now and required dates present, Then status becomes Released automatically.",18
FR-E23,Instructions & Approval Workflow,System (implicit),to set status to Archived when Expiry <= now and archived flag is true,expired content is retired from normal view,None,TBD,User Guide Sec 10.1,"• Given Expiry <= now and archived flag true, Then the message status becomes Archived.",18
FR-E24,Instructions & Approval Workflow,Data Preparer,validation that Message ID must not already exist,duplicate IDs do not collide data,None,TBD,User Guide Sec 10.2,"• Given a duplicate Message ID, When I save, Then validation blocks creation.",18
FR-E25,Instructions & Approval Workflow,Data Preparer,an option to select *All Sites* when submitting new Instructions,I can target all Primary Message Groups in one action,None,TBD,User Guide Sec 10.2,"• Given I choose *All Sites*, Then Sub Types and access options consider all sites.",18;19
FR-E26,Instructions & Approval Workflow,Data Preparer,Sub Types dropdown to populate for the selected Primary Message Groups,I can choose the correct Sub Type context,None,TBD,User Guide Sec 10.2,"• Given multiple sites selected, Then Sub Types from those sites are available.",19
FR-E27,Instructions & Approval Workflow,System (implicit),to send creation notification to approvers selected on the Instruction and to the Sub Type creation distribution list,no approver is missed,None,TBD,"User Guide Sec 10.2, 12.4","• Given a message is created, Then both recipient sets receive notifications.",19
FR-E28,Instructions & Approval Workflow,System (implicit),to send approval emails to the Sub Type approval distribution list,stakeholders are informed consistently,None,TBD,User Guide Sec 12.4,"• Given a message is approved, Then recipients on the approval distribution list receive the email.",19;20
FR-E29,Instructions & Approval Workflow,Data Authority,to filter maintenance grid by Message Group and Message Sub Type,I can narrow the working set,None,TBD,User Guide Sec 10.4,"• Given I select a Group/Sub Type filter, Then only matching messages are listed.",20
FR-E30,Instructions & Approval Workflow,Data Authority,to maintain messages across all Primary Message Groups when I have See All PMG,I can support multiple sites,None,TBD,User Guide Sec 10.4,"• Given I have See All PMG, Then All Site scope is available and returns cross-site items.",20
FR-F01,Reporting,Report viewer (role-based),to list members of a selected BOTD group,I can manage communications,None,TBD,User Guide Sec 11.x,"• Given I have report permission, When I open the report criteria and set filters, Then the report renders in the viewer. • And I can zoom, save, and print from the viewer.",20
FR-F02,Reporting,Report viewer (role-based),to list members of a selected Site,I can view site membership,None,TBD,User Guide Sec 11.x,"• Given I have report permission, When I open the report criteria and set filters, Then the report renders in the viewer. • And I can zoom, save, and print from the viewer.",20;21
FR-F03,Reporting,Report viewer (role-based),to list members of a selected User Group,I can view user group membership,None,TBD,User Guide Sec 11.x,"• Given I have report permission, When I open the report criteria and set filters, Then the report renders in the viewer. • And I can zoom, save, and print from the viewer.",21
FR-F04,Reporting,Report viewer (role-based),to list members of a selected Watch group,I can view watch membership,None,TBD,User Guide Sec 11.x,"• Given I have report permission, When I open the report criteria and set filters, Then the report renders in the viewer. • And I can zoom, save, and print from the viewer.",21
FR-F05,Reporting,Report viewer (role-based),to view Message Groups associated with a Sector,I can verify sector mapping,None,TBD,User Guide Sec 11.x,"• Given I have report permission, When I open the report criteria and set filters, Then the report renders in the viewer. • And I can zoom, save, and print from the viewer.",21;22
FR-F06,Reporting,Report viewer (role-based),to view users in a Primary/associated groups and their unread mandatory messages with options for archived/not-yet-effective,I can monitor compliance,None,TBD,User Guide Sec 11.x,"• Given I have report permission, When I open the report criteria and set filters, Then the report renders in the viewer. • And I can zoom, save, and print from the viewer.",22
FR-F07,Reporting,Report viewer (role-based),to list unread mandatory messages for a selected user with options for archived/not-yet-effective,I can follow up with individuals,None,TBD,User Guide Sec 11.x,"• Given I have report permission, When I open the report criteria and set filters, Then the report renders in the viewer. • And I can zoom, save, and print from the viewer.",22
FR-F08,Reporting,Report viewer (role-based),to report read type/time and printed flag for a user within a period with options for archived/not-yet-effective,I can audit reading behaviour,None,TBD,User Guide Sec 11.x,"• Given I have report permission, When I open the report criteria and set filters, Then the report renders in the viewer. • And I can zoom, save, and print from the viewer.",22;23
FR-F09,Reporting,Report viewer (role-based),to list users by Role and Primary Message Group,I can review access allocations,None,TBD,User Guide Sec 11.x,"• Given I have report permission, When I open the report criteria and set filters, Then the report renders in the viewer. • And I can zoom, save, and print from the viewer.",23
FR-F10,Reporting,Report viewer (role-based),to display full details for a selected Message ID,I can inspect configuration of a message,None,TBD,User Guide Sec 11.x,"• Given I have report permission, When I open the report criteria and set filters, Then the report renders in the viewer. • And I can zoom, save, and print from the viewer.",23
FR-F11,Reporting,Report viewer (role-based),to list updates made by an SAP import,I can audit import results,None,TBD,User Guide Sec 11.x,"• Given I have report permission, When I open the report criteria and set filters, Then the report renders in the viewer. • And I can zoom, save, and print from the viewer.",23;24
FR-F12,Reporting,Report viewer (role-based),to list users who HAVE / HAVE NOT accessed a selected message,I can verify message reach,None,TBD,User Guide Sec 11.x,"• Given I have report permission, When I open the report criteria and set filters, Then the report renders in the viewer. • And I can zoom, save, and print from the viewer.",24
FR-F13,Reporting,Report viewer (role-based),to report activities for selected groups within a period,I can monitor my team,None,TBD,User Guide Sec 11.x,"• Given I have report permission, When I open the report criteria and set filters, Then the report renders in the viewer. • And I can zoom, save, and print from the viewer.",24
FR-F14,Reporting,Report viewer (role-based),to report activities for my reportees within a period,I can monitor my direct reports,None,TBD,User Guide Sec 11.x,"• Given I have report permission, When I open the report criteria and set filters, Then the report renders in the viewer. • And I can zoom, save, and print from the viewer.",24;25
FR-F17,Reporting,Report viewer (role-based),to include/exclude archived and not-yet-effective messages,I can tailor compliance views,None,TBD,User Guide Sec 11.5,"• Given I toggle the checkboxes, Then the report includes/excludes those items.",25
FR-F18,Reporting,Report viewer (role-based),a user search that finds by first 3 characters of ID/First/Surname and respects site scope,I can locate the correct user,None,TBD,User Guide Sec 11.6,"• Given I type 3+ characters, Then matching users appear; scope depends on my permission.",25
FR-F19,Reporting,Report viewer (role-based),to define a period for login events included in the report,I can analyse engagement windows,None,TBD,User Guide Sec 11.7,"• Given a date range, Then only logins within that range are included.",25;26
FR-F20,Reporting,Report viewer (role-based),filters for Role and Primary Message Group,I can scope the role list,None,TBD,User Guide Sec 11.8,"• Given I choose a Role and PMG, Then the report lists matching users.",26
FR-F21,Reporting,Report viewer (role-based),search by first 3 characters of MessageID with site scoping,I can find the target message,None,TBD,User Guide Sec 11.9,"• Given I type 3+ characters, Then candidate IDs show; scope depends on my permission.",26
FR-F22,Reporting,Report viewer (role-based),a selector for HAVE / HAVE NOT accessed the message,I can see who has read it,None,TBD,User Guide Sec 11.11,"• Given I pick HAVE or HAVE NOT, Then the report returns the chosen cohort.",26;27
FR-F23,Reporting,Report viewer (role-based),a Close button that returns to the criteria page,I can adjust filters quickly,None,TBD,User Guide Sec 11.2,"• Given I click Close in the viewer, Then I return to the criteria screen.",27
FR-F24,Reporting,System (implicit),to include only users with Include In Report checked,reports reflect intended cohorts,None,TBD,"User Guide Sec 11.1, 12.11","• Given a user is not flagged Include In Report, Then they are omitted from reports.",27
FR-F25,Reporting,Report viewer (role-based),the defined reporting period to filter both user logins and messages effective within the period,the report reflects the window accurately,None,TBD,User Guide Sec 11.12,"• Given I set a date range, Then only logins and messages effective within the range are included.",27
FR-F26,Reporting,Report viewer (role-based),the defined reporting period to filter both user logins and messages effective within the period for my reportees,I can review my direct reports accurately,None,TBD,User Guide Sec 11.13,"• Given I set a date range, Then only logins and messages effective within the range are included.",27;28
FR-F27,Reporting,Report viewer (role-based),the report to show whether messages were printed,print actions are auditable,None,TBD,User Guide Sec 11.7,"• Given the report renders, Then a column indicates whether each message was printed.",28
FR-F28,Reporting,Report viewer (role-based),to select a Primary Message Group and associated Message Groups as filters,I can target a subset,None,TBD,User Guide Sec 11.5,"• Given I pick a PMG and associated groups, Then only those users/messages are included.",28
FR-H01,User Self-Service,Any user,"to view my read-only profile (ID, name, group membership, roles)",I can confirm my access and membership,None,TBD,User Guide Sec 13.2,"• Given I have the required permissions, When I open Current Details, Then I see my ID, name, groups, and roles (read-only). • And results/actions are consistent with my role and scope.",28;29
FR-H02,User Self-Service,Any user,to change my password with enforced complexity rules and success confirmation,I can update my credentials securely,None,TBD,User Guide Sec 13.3,"• Given I provide Old/New/Confirm, When the new password is compliant, Then it is saved and a success screen is shown. • Given non-compliance, When I save, Then validation explains the rule violations.",29
FR-H03,User Self-Service,Any user,to send feedback with subject/body to the System Administrator,I can raise issues or suggestions,None,TBD,User Guide Sec 13.4,"• Given subject and body are entered, When I click Send, Then the feedback email is sent. • Given missing fields, When I click Send, Then validation prevents submission.",29
FR-H04,User Self-Service,Any user,to open the User Guide PDF from the menu,I can self-serve help,None,TBD,User Guide Sec 13.5,"• Given I have the required permissions, When I click User Guide, Then I see the PDF opens within the application. • And results/actions are consistent with my role and scope.",29;30
FR-H05,User Self-Service,Any user,"password change to enforce length 6–14, 3 of 4 categories, and exclude my ID/First/Surname",passwords meet policy,None,TBD,"User Guide Sec 4.3, 13.3","• Given I enter a non-compliant password, Then the save is blocked with rule-specific messages. Admin / Configuration User Stories Summary Re q ID Theme Role Need So that Dependenc ies FR - G1 - 01 Administrat ion & Configuratio n System Manager / Administra tor to create, edit, and delete hierarchical Message Groups via a tree and context menu audiences can be modelled correctly None FR - G1 - 02 Administrat ion & Configuratio n System Manager / Administra tor to create, edit, and delete hierarchical Message Group Types with associations to Message Types and Exclusive Membership flag group taxonomy reflects organisation al needs None FR - G1 - 03 Administrat ion & Configuratio n System Manager / Administra tor to create, edit, and delete Message Types with settings (Default Content Type, View Mode, Menu View, Display at Logon, Requires Approval, Searchable, Has Sub Types, Has Effective Date) message behaviours are configurable None FR - G1 - Administrat ion & Configuratio n System Manager / Administra tor to create, edit, and delete Sub Types per Primary Message Group and Message Type with policy and workflows are enforced per category None G2 - 33 Configuratio n Administra tor sensible defaults FR - G2 - 34 Administrat ion & Configuratio n System Manager / Administra tor to specify which Message Types each role can access fine-grained control is possible None Detailed User Stories",30;36
FR-G1-01,Administration & Configuration,System Manager / Administrator,"to create, edit, and delete hierarchical Message Groups via a tree and context menu",audiences can be modelled correctly,None,TBD,User Guide Sec 12.2,"• Given I add a child group, When I save valid details, Then the new node appears in the tree. • Given a group has children/users/messages, When I attempt delete, Then the system blocks deletion with an error.",36
FR-G1-02,Administration & Configuration,System Manager / Administrator,"to create, edit, and delete hierarchical Message Group Types with associations to Message Types and Exclusive Membership flag",group taxonomy reflects organisational needs,None,TBD,User Guide Sec 12.3,"• Given I create a type, When I set parent/type fields, Then it is saved and shown in the tree. • Given a type is linked to children or groups, When I delete, Then deletion is blocked.",36
FR-G1-03,Administration & Configuration,System Manager / Administrator,"to create, edit, and delete Message Types with settings (Default Content Type, View Mode, Menu View, Display at Logon, Requires Approval, Searchable, Has Sub Types, Has Effective Date)",message behaviours are configurable,None,TBD,User Guide Sec 12.5,"• Given I set required fields, When I save, Then the type is created. • Given a type is in use, When I attempt deletion, Then the system blocks it.",36;37
FR-G1-04,Administration & Configuration,System Manager / Administrator,"to create, edit, and delete Sub Types per Primary Message Group and Message Type with min/max validity and email distributions",policy and workflows are enforced per category,None,TBD,User Guide Sec 12.4,"• Given I set min/max validity days, When I save, Then values are stored and used for validation. • Given a sub type is in use, When I attempt deletion, Then the system blocks it.",37
FR-G1-05,Administration & Configuration,System Manager / Administrator,special Parent option “—Is Parent—” and Message Type option “—All Message Types—” when defining types,I can create top-level types and types usable across message types,None,TBD,User Guide Sec 12.3,"• Given I select “—Is Parent—”, Then the type becomes a parent; • Given “—All Message Types—”, Then it is not restricted.",37;38
FR-G1-06,Administration & Configuration,System Manager / Administrator,to prevent deleting a Message Group that has child groups,hierarchy integrity is preserved,None,TBD,User Guide Sec 12.2,"• Given a group has children, Then delete is blocked with an explanatory message.",38
FR-G1-07,Administration & Configuration,System Manager / Administrator,to prevent deleting a Message Group referenced by users,user links remain valid,None,TBD,User Guide Sec 12.2,"• Given users reference the group, Then delete is blocked with a warning.",38
FR-G1-08,Administration & Configuration,System Manager / Administrator,to prevent deleting a Message Group referenced by messages,message links remain valid,None,TBD,User Guide Sec 12.2,"• Given messages reference the group, Then delete is blocked with a warning.",38
FR-G1-09,Administration & Configuration,System Manager / Administrator,to prevent deleting a Group Type that has child types,taxonomy integrity is preserved,None,TBD,User Guide Sec 12.3,"• Given a type has children, Then delete is blocked with an error.",38;39
FR-G1-10,Administration & Configuration,System Manager / Administrator,to prevent deleting a Group Type referenced by any Message Group,group links remain valid,None,TBD,User Guide Sec 12.3,"• Given groups reference the type, Then delete is blocked with an error.",39
FR-G1-11,Administration & Configuration,System Manager / Administrator,to configure whether messages of this type require approval before release,workflows reflect content type,None,TBD,"User Guide Sec 12.5, 9.4","• Given Requires Approval is off for BOTD type, Then BOTD messages do not require approval to release.",39
FR-G1-12,Administration & Configuration,System Manager / Administrator,to configure whether a message type uses Sub Types,granularity is optional,None,TBD,User Guide Sec 12.5,"• Given Has Sub Types is on, Then Sub Types can be created and used for that type.",39;40
FR-G1-13,Administration & Configuration,System Manager / Administrator,to configure whether a message type uses an Effective Date,timing fields fit the content,None,TBD,User Guide Sec 12.5,"• Given Has Effective Date is off, Then messages of that type do not require Effective Date.",40
FR-G1-14,Administration & Configuration,System Manager / Administrator,"to set the default content type (e.g., Text for BOTD, PDF for Instructions)",UI and behaviour align to content,None,TBD,"User Guide Sec 12.5, 6.1, 10.2","• Given Default Content Type is Text, Then BOTD authoring uses text content; • Given PDF, Then uploads are expected.",40
FR-G1-15,Administration & Configuration,System Manager / Administrator,to configure how messages of a type are viewed and where they appear in menus,navigation is consistent,None,TBD,"User Guide Sec 12.5, 3.2","• Given View Mode/Menu View are set, Then UI reflects those settings.",40
FR-G2-01,Administration & Configuration,System Manager / Administrator,to search for a user and set a new password,I can restore access securely,None,TBD,User Guide Sec 12.6,"• Given I have the required permissions, When I reset a user password, Then I see validation and success confirmation displayed. • And results/actions are consistent with my role and scope.",40;41
FR-G2-02,Administration & Configuration,System Manager / Administrator,"to create, edit, and delete roles with functional permissions and Message Type access (default role flag)",access is controlled consistently,None,TBD,User Guide Sec 12.7,"• Given I define functions and type access, When I save, Then the role is created/updated. • Given a role is assigned to users, When I delete, Then deletion is blocked.",41
FR-G2-03,Administration & Configuration,System Administrator,"to select an SAP file, preview site-grouped modifications, choose updates, and commit changes",directory data and sectors stay in sync,None,TBD,User Guide Sec 12.8,"• Given a valid SAP file, When I import, Then proposed updates are displayed grouped by site. • Given I select updates and click Save, When processing completes, Then a confirmation shows results and errors if any. FR-G2-4 Theme: Administration & Configuration Dependencies: None As a System Manager / Administrator, I need to create, edit, and delete Sectors (Name, Code, Identification) and link to Message Groups, so that message access aligns to operational sectors Requirement Owner TBD Source User Guide Sec 12.9 Acceptance Criteria: • Given I create a sector with required fields, When I save, Then it appears under the selected Primary Message Group. • Given immutable fields post-creation (Code/Identification/PMG), When I edit, Then only allowed fields are editable.",41;42
FR-G2-05,Administration & Configuration,System Administrator,"to edit system-wide attributes (pre-effective hours/colour, archive retention, password expiry and warnings, lockout thresholds, notification emails, lock timeout)",global behaviours can be tuned without code changes,None,TBD,User Guide Sec 12.10,"• Given I enter valid values, When I save, Then attributes persist and take effect. • Given invalid values (e.g., non-numeric where numeric required), When I save, Then validation errors are shown.",42
FR-G2-06,Administration & Configuration,System Manager / Administrator,"to create, search, list, edit, and delete users; assign roles, message groups, default group; toggle Include in Reports; control SAP import flag",user access and reporting scope are maintained,None,TBD,User Guide Sec 12.11,"• Given I create a user, When saved, Then an initial compliant password is generated and the user must change it at first login. • Given I search by first 3 characters of ID/Name, When results appear, Then I can open Edit and update details.",42;43
FR-G2-07,Administration & Configuration,System Manager / Administrator,"to create, edit, and delete email distribution entries (blocked if linked to a Sub Type)",notification recipients can be managed centrally,None,TBD,User Guide Sec 12.12,"• Given I create or edit an email distribution, When I save, Then it is available for selection. • Given a distribution is linked to a Sub Type, When I delete, Then deletion is blocked with a warning.",43
FR-G2-08,Administration & Configuration,Staff Supervisor / Manager,to curate my list of reportees within my Primary Message Group (and only those flagged Include in Reports),my team appears correctly in team reports,None,TBD,User Guide Sec 12.13,"• Given I have permission, When I add/remove users between Available and Selected lists, Then my reportees are saved. • Given site scope, When I lack See All PMG permission, Then only my site’s users are shown.",43
FR-G2-12,Administration & Configuration,System Manager / Administrator,enforcement that the user’s Default Message Group must be among their group memberships,dashboard behaves correctly,None,TBD,User Guide Sec 12.11,"• Given Default Group not in memberships, When I save, Then validation blocks the change.",43;44
FR-G2-13,Administration & Configuration,System Manager / Administrator,to set whether the distribution is used as Email,routing is explicit,None,TBD,User Guide Sec 12.12,"• Given I set the flag, Then the distribution behaves accordingly in notifications.",44
FR-G2-14,Administration & Configuration,System Administrator,to set the email address for approval notifications,approval emails reach the right mailbox,None,TBD,User Guide Sec 12.10,"• Given I set 'Message Approval Notification Email Address', Then approval notifications are sent there.",44
FR-G2-15,Administration & Configuration,System Administrator,to set the email address for unapproved-but-effective notifications,I am alerted to policy breaches,None,TBD,User Guide Sec 12.10,"• Given I set 'Notification Email Address', Then unapproved-at-effective emails are sent there.",44;45
FR-G2-16,Administration & Configuration,System Administrator,to set who receives account lock emails,security events are monitored,None,TBD,User Guide Sec 12.10,"• Given I set 'User Account Lock Distribution List', Then lock events email that list.",45
FR-G2-17,Administration & Configuration,System Administrator,to set password expiry in days,password rotation follows policy,None,TBD,User Guide Sec 12.10,"• Given I set Password Expiry Interval, Then users must change passwords at that cadence.",45
FR-G2-18,Administration & Configuration,System Administrator,to set the warning window before expiry,users are nudged to change passwords,None,TBD,User Guide Sec 12.10,"• Given I set the warning interval, Then users see warnings that many days before expiry.",45
FR-G2-19,Administration & Configuration,System Administrator,to set the maximum failed login attempts before lockout,brute-force is mitigated,None,TBD,User Guide Sec 12.10,"• Given I set Max Failed Logins, Then lockouts occur after that number of failures.",45;46
FR-G2-20,Administration & Configuration,System Administrator,to set how long messages remain after archiving,storage is controlled,None,TBD,User Guide Sec 12.10,"• Given I set Message Archive Retention Period (months), Then archived items purge after that period.",46
FR-G2-21,Administration & Configuration,System Administrator,to set how long expired messages remain in the system,expired content lifecycle is governed,None,TBD,User Guide Sec 12.10,"• Given I set Expired Message Archive Period (months), Then expired items are retained accordingly.",46
FR-G2-22,Administration & Configuration,System Administrator,to view a list of available SAP files to import,I can pick the correct file,None,TBD,User Guide Sec 12.8,"• Given available files exist, Then they are listed for selection.",46;47
FR-G2-23,Administration & Configuration,System Administrator,to view SAP files rejected due to format errors,I can correct issues before import,None,TBD,User Guide Sec 12.8,"• Given files are malformed, Then they appear under files in error.",47
